Team 1,Team 2,Winner,Ground,Date
Bangladesh,Afghanistan,Afghanistan,Shere Bangla National Stadium,15/09/2019
Netherlands,Scotland,Scotland,The Village,16/09/2019
Ireland,Scotland,Ireland,The Village,17/09/2019
India,South Africa,India,Punjab Cricket Association IS Bindra Stadium,18/09/2019
Bangladesh,Zimbabwe,Bangladesh,Zahur Ahmed Chowdhury Stadium,18/09/2019
Ireland,Netherlands,Netherlands,The Village,18/09/2019
Netherlands,Scotland,Scotland,The Village,19/09/2019
Afghanistan,Zimbabwe,Zimbabwe,Zahur Ahmed Chowdhury Stadium,20/09/2019
Ireland,Scotland,Ireland,The Village,20/09/2019
Bangladesh,Afghanistan,Bangladesh,Zahur Ahmed Chowdhury Stadium,21/09/2019
India,South Africa,South Africa,M Chinnaswamy Stadium,22/09/2019
Bangladesh,Afghanistan,Match abandoned,Shere Bangla National Stadium,24/09/2019
Pakistan,Sri Lanka,Sri Lanka,Gaddafi Stadium,05/10/2019
Ireland,Netherlands,Ireland,Al Amerat Cricket Ground Ministry Turf 1,05/10/2019
Pakistan,Sri Lanka,Sri Lanka,Gaddafi Stadium,07/10/2019
Pakistan,Sri Lanka,Sri Lanka,Gaddafi Stadium,09/10/2019
Namibia,Netherlands,Netherlands,ICC Global Cricket Academy,19/10/2019
United Arab Emirates,Ireland,United Arab Emirates,Sheikh Zayed Stadium,19/10/2019
Namibia,Scotland,Namibia,ICC Global Cricket Academy,22/10/2019
Australia,Sri Lanka,Australia,Adelaide Oval,27/10/2019
Scotland,Netherlands,Netherlands,Dubai International Cricket Stadium,27/10/2019
United Arab Emirates,Netherlands,Netherlands,Dubai International Cricket Stadium,29/10/2019
Australia,Sri Lanka,Australia,Brisbane Cricket Ground,30/10/2019
United Arab Emirates,Scotland,Scotland,Dubai International Cricket Stadium,30/10/2019
New Zealand,England,England,Hagley Oval,01/11/2019
Australia,Sri Lanka,Australia,Melbourne Cricket Ground,01/11/2019
Ireland,Netherlands,Netherlands,Dubai International Cricket Stadium,01/11/2019
Ireland,Namibia,Ireland,Dubai International Cricket Stadium,02/11/2019
Australia,Pakistan,No result,Sydney Cricket Ground,03/11/2019
India,Bangladesh,Bangladesh,Arun Jaitley Stadium,03/11/2019
New Zealand,England,New Zealand,Westpac Stadium,03/11/2019
Australia,Pakistan,Australia,Manuka Oval,05/11/2019
New Zealand,England,New Zealand,Saxton Oval,05/11/2019
India,Bangladesh,India,Saurashtra Cricket Association Stadium,07/11/2019
Australia,Pakistan,Australia,Perth Stadium,08/11/2019
New Zealand,England,England,McLean Park,08/11/2019
India,Bangladesh,India,Vidarbha Cricket Association Stadium,10/11/2019
New Zealand,England,England,Eden Park,10/11/2019
Afghanistan,West Indies,West Indies,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,14/11/2019
Afghanistan,West Indies,Afghanistan,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,16/11/2019
Afghanistan,West Indies,Afghanistan,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,17/11/2019
India,West Indies,India,Rajiv Gandhi International Stadium,06/12/2019
India,West Indies,West Indies,Greenfield International Stadium,08/12/2019
India,West Indies,India,Wankhede Stadium,11/12/2019
India,Sri Lanka,No result,Barsapara Cricket Stadium,05/01/2020
India,Sri Lanka,India,Holkar Cricket Stadium,07/01/2020
India,Sri Lanka,India,Maharashtra Cricket Association Stadium,10/01/2020
West Indies,Ireland,Ireland,National Cricket Stadium (Grenada),15/01/2020
West Indies,Ireland,No result,Warner Park,18/01/2020
West Indies,Ireland,West Indies,Warner Park,19/01/2020
New Zealand,India,India,Eden Park,24/01/2020
Pakistan,Bangladesh,Pakistan,Gaddafi Stadium,24/01/2020
Pakistan,Bangladesh,Pakistan,Gaddafi Stadium,25/01/2020
New Zealand,India,India,Eden Park,26/01/2020
Pakistan,Bangladesh,Match abandoned,Gaddafi Stadium,27/01/2020
New Zealand,India,India,Seddon Park,29/01/2020
New Zealand,India,India,Westpac Stadium,31/01/2020
New Zealand,India,India,Bay Oval,02/02/2020
South Africa,England,South Africa,Buffalo Park,12/02/2020
South Africa,England,England,Kingsmead,14/02/2020
South Africa,England,England,SuperSport Park,16/02/2020
South Africa,Australia,Australia,Wanderers Stadium,21/02/2020
South Africa,Australia,South Africa,St George's Park,23/02/2020
South Africa,Australia,Australia,Newlands,26/02/2020
Sri Lanka,West Indies,West Indies,Pallekele International Cricket Stadium,04/03/2020
Afghanistan,Ireland,Afghanistan,Greater Noida Sports Complex Ground,06/03/2020
Sri Lanka,West Indies,West Indies,Pallekele International Cricket Stadium,06/03/2020
Afghanistan,Ireland,Afghanistan,Greater Noida Sports Complex Ground,08/03/2020
Bangladesh,Zimbabwe,Bangladesh,Shere Bangla National Stadium,09/03/2020
Afghanistan,Ireland,Ireland,Greater Noida Sports Complex Ground,10/03/2020
Bangladesh,Zimbabwe,Bangladesh,Shere Bangla National Stadium,11/03/2020
England,Pakistan,No result,Old Trafford,28/08/2020
England,Pakistan,England,Old Trafford,30/08/2020
England,Pakistan,Pakistan,Old Trafford,01/09/2020
England,Australia,England,The Rose Bowl,04/09/2020
England,Australia,England,The Rose Bowl,06/09/2020
England,Australia,Australia,The Rose Bowl,08/09/2020
Pakistan,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,07/11/2020
Pakistan,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,08/11/2020
Pakistan,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,10/11/2020
New Zealand,West Indies,New Zealand,Eden Park,27/11/2020
South Africa,England,England,Newlands,27/11/2020
New Zealand,West Indies,New Zealand,Bay Oval,29/11/2020
South Africa,England,England,Boland Park,29/11/2020
New Zealand,West Indies,No result,Bay Oval,30/11/2020
South Africa,England,England,Newlands,01/12/2020
Australia,India,India,Manuka Oval,04/12/2020
Australia,India,India,Sydney Cricket Ground,06/12/2020
Australia,India,Australia,Sydney Cricket Ground,08/12/2020
New Zealand,Pakistan,New Zealand,Eden Park,18/12/2020
New Zealand,Pakistan,New Zealand,Seddon Park,20/12/2020
New Zealand,Pakistan,Pakistan,McLean Park,22/12/2020
Pakistan,South Africa,Pakistan,Gaddafi Stadium,11/02/2021
Pakistan,South Africa,South Africa,Gaddafi Stadium,13/02/2021
Pakistan,South Africa,Pakistan,Gaddafi Stadium,14/02/2021
New Zealand,Australia,New Zealand,Hagley Oval,22/02/2021
New Zealand,Australia,New Zealand,University Oval,25/02/2021
West Indies,Sri Lanka,West Indies,Coolidge Cricket Ground,03/03/2021
New Zealand,Australia,Australia,Westpac Stadium,03/03/2021
West Indies,Sri Lanka,Sri Lanka,Coolidge Cricket Ground,05/03/2021
New Zealand,Australia,Australia,Westpac Stadium,05/03/2021
West Indies,Sri Lanka,West Indies,Coolidge Cricket Ground,07/03/2021
New Zealand,Australia,New Zealand,Westpac Stadium,07/03/2021
India,England,England,Narendra Modi Stadium,12/03/2021
India,England,India,Narendra Modi Stadium,14/03/2021
India,England,England,Narendra Modi Stadium,16/03/2021
Afghanistan,Zimbabwe,Afghanistan,Sheikh Zayed Stadium,17/03/2021
India,England,India,Narendra Modi Stadium,18/03/2021
Afghanistan,Zimbabwe,Afghanistan,Sheikh Zayed Stadium,19/03/2021
Afghanistan,Zimbabwe,Afghanistan,Sheikh Zayed Stadium,20/03/2021
India,England,India,Narendra Modi Stadium,20/03/2021
New Zealand,Bangladesh,New Zealand,Seddon Park,28/03/2021
New Zealand,Bangladesh,New Zealand,McLean Park,30/03/2021
New Zealand,Bangladesh,New Zealand,Eden Park,01/04/2021
South Africa,Pakistan,Pakistan,Wanderers Stadium,10/04/2021
South Africa,Pakistan,South Africa,Wanderers Stadium,12/04/2021
South Africa,Pakistan,Pakistan,SuperSport Park,14/04/2021
South Africa,Pakistan,Pakistan,SuperSport Park,16/04/2021
Zimbabwe,Pakistan,Pakistan,Harare Sports Club,21/04/2021
Zimbabwe,Pakistan,Zimbabwe,Harare Sports Club,23/04/2021
Zimbabwe,Pakistan,Pakistan,Harare Sports Club,25/04/2021
England,Sri Lanka,England,Sophia Gardens,23/06/2021
England,Sri Lanka,England,Sophia Gardens,24/06/2021
West Indies,South Africa,West Indies,National Cricket Stadium (Grenada),26/06/2021
England,Sri Lanka,England,The Rose Bowl,26/06/2021
West Indies,South Africa,South Africa,National Cricket Stadium (Grenada),27/06/2021
West Indies,South Africa,South Africa,National Cricket Stadium (Grenada),29/06/2021
West Indies,South Africa,West Indies,National Cricket Stadium (Grenada),01/07/2021
West Indies,South Africa,South Africa,National Cricket Stadium (Grenada),03/07/2021
West Indies,Australia,West Indies,Daren Sammy National Cricket Stadium,09/07/2021
West Indies,Australia,West Indies,Daren Sammy National Cricket Stadium,10/07/2021
West Indies,Australia,West Indies,Daren Sammy National Cricket Stadium,12/07/2021
West Indies,Australia,Australia,Daren Sammy National Cricket Stadium,14/07/2021
West Indies,Australia,West Indies,Daren Sammy National Cricket Stadium,16/07/2021
England,Pakistan,Pakistan,Trent Bridge,17/07/2021
England,Pakistan,England,Headingley,18/07/2021
Ireland,South Africa,South Africa,The Village,19/07/2021
England,Pakistan,England,Old Trafford,20/07/2021
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,22/07/2021
Ireland,South Africa,South Africa,Civil Service Cricket Club,22/07/2021
Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,23/07/2021
Ireland,South Africa,South Africa,Civil Service Cricket Club,24/07/2021
Sri Lanka,India,India,R Premadasa Stadium,25/07/2021
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,25/07/2021
West Indies,Pakistan,No result,Kensington Oval,28/07/2021
Sri Lanka,India,Sri Lanka,R Premadasa Stadium,28/07/2021
Sri Lanka,India,Sri Lanka,R Premadasa Stadium,29/07/2021
West Indies,Pakistan,Pakistan,Providence Stadium,31/07/2021
West Indies,Pakistan,No result,Providence Stadium,01/08/2021
Bangladesh,Australia,Bangladesh,Shere Bangla National Stadium,03/08/2021
West Indies,Pakistan,No result,Providence Stadium,03/08/2021
Bangladesh,Australia,Bangladesh,Shere Bangla National Stadium,04/08/2021
Bangladesh,Australia,Bangladesh,Shere Bangla National Stadium,06/08/2021
Bangladesh,Australia,Australia,Shere Bangla National Stadium,07/08/2021
Bangladesh,Australia,Bangladesh,Shere Bangla National Stadium,09/08/2021
Ireland,Zimbabwe,Zimbabwe,Castle Avenue,27/08/2021
Ireland,Zimbabwe,Ireland,Castle Avenue,29/08/2021
Bangladesh,New Zealand,Bangladesh,Shere Bangla National Stadium,01/09/2021
Ireland,Zimbabwe,Ireland,Bready Cricket Club,01/09/2021
Ireland,Zimbabwe,Ireland,Bready Cricket Club,02/09/2021
Bangladesh,New Zealand,Bangladesh,Shere Bangla National Stadium,03/09/2021
Ireland,Zimbabwe,Zimbabwe,Bready Cricket Club,04/09/2021
Bangladesh,New Zealand,New Zealand,Shere Bangla National Stadium,05/09/2021
Bangladesh,New Zealand,Bangladesh,Shere Bangla National Stadium,08/09/2021
Sri Lanka,South Africa,South Africa,R Premadasa Stadium,10/09/2021
Bangladesh,New Zealand,New Zealand,Shere Bangla National Stadium,10/09/2021
Sri Lanka,South Africa,South Africa,R Premadasa Stadium,12/09/2021
Sri Lanka,South Africa,South Africa,R Premadasa Stadium,14/09/2021
Scotland,Zimbabwe,Scotland,Grange Cricket Club,15/09/2021
Scotland,Zimbabwe,Zimbabwe,Grange Cricket Club,17/09/2021
Scotland,Zimbabwe,Zimbabwe,Grange Cricket Club,19/09/2021
United Arab Emirates,Namibia,Namibia,ICC Global Cricket Academy,05/10/2021
United Arab Emirates,Ireland,Ireland,ICC Global Cricket Academy,07/10/2021
United Arab Emirates,Ireland,United Arab Emirates,ICC Global Cricket Academy,08/10/2021
Namibia,Scotland,Namibia,ICC Global Cricket Academy,09/10/2021
United Arab Emirates,Ireland,United Arab Emirates,ICC Global Cricket Academy,10/10/2021
Bangladesh,Scotland,Scotland,Al Amerat Cricket Ground Ministry Turf 1,17/10/2021
Ireland,Netherlands,Ireland,Sheikh Zayed Stadium,18/10/2021
Namibia,Sri Lanka,Sri Lanka,Sheikh Zayed Stadium,18/10/2021
Namibia,Netherlands,Namibia,Sheikh Zayed Stadium,20/10/2021
Ireland,Sri Lanka,Sri Lanka,Sheikh Zayed Stadium,20/10/2021
Ireland,Namibia,Namibia,Sharjah Cricket Stadium,22/10/2021
Netherlands,Sri Lanka,Sri Lanka,Sharjah Cricket Stadium,22/10/2021
Australia,South Africa,Australia,Sheikh Zayed Stadium,23/10/2021
England,West Indies,England,Dubai International Cricket Stadium,23/10/2021
Bangladesh,Sri Lanka,Sri Lanka,Sharjah Cricket Stadium,24/10/2021
India,Pakistan,Pakistan,Dubai International Cricket Stadium,24/10/2021
Afghanistan,Scotland,Afghanistan,Sharjah Cricket Stadium,25/10/2021
South Africa,West Indies,South Africa,Dubai International Cricket Stadium,26/10/2021
New Zealand,Pakistan,Pakistan,Sharjah Cricket Stadium,26/10/2021
Bangladesh,England,England,Sheikh Zayed Stadium,27/10/2021
Namibia,Scotland,Namibia,Sheikh Zayed Stadium,27/10/2021
Australia,Sri Lanka,Australia,Dubai International Cricket Stadium,28/10/2021
Bangladesh,West Indies,West Indies,Sharjah Cricket Stadium,29/10/2021
Afghanistan,Pakistan,Pakistan,Dubai International Cricket Stadium,29/10/2021
South Africa,Sri Lanka,South Africa,Sharjah Cricket Stadium,30/10/2021
Australia,England,England,Dubai International Cricket Stadium,30/10/2021
Afghanistan,Namibia,Afghanistan,Sheikh Zayed Stadium,31/10/2021
India,New Zealand,New Zealand,Dubai International Cricket Stadium,31/10/2021
England,Sri Lanka,England,Sharjah Cricket Stadium,01/11/2021
Bangladesh,South Africa,South Africa,Sheikh Zayed Stadium,02/11/2021
Namibia,Pakistan,Pakistan,Sheikh Zayed Stadium,02/11/2021
New Zealand,Scotland,New Zealand,Dubai International Cricket Stadium,03/11/2021
Afghanistan,India,India,Sheikh Zayed Stadium,03/11/2021
Australia,Bangladesh,Australia,Dubai International Cricket Stadium,04/11/2021
Sri Lanka,West Indies,Sri Lanka,Sheikh Zayed Stadium,04/11/2021
Namibia,New Zealand,New Zealand,Sharjah Cricket Stadium,05/11/2021
India,Scotland,India,Dubai International Cricket Stadium,05/11/2021
Australia,West Indies,Australia,Sheikh Zayed Stadium,06/11/2021
England,South Africa,South Africa,Sharjah Cricket Stadium,06/11/2021
Afghanistan,New Zealand,New Zealand,Sheikh Zayed Stadium,07/11/2021
Pakistan,Scotland,Pakistan,Sharjah Cricket Stadium,07/11/2021
India,Namibia,India,Dubai International Cricket Stadium,08/11/2021
England,New Zealand,New Zealand,Sheikh Zayed Stadium,10/11/2021
Australia,Pakistan,Australia,Dubai International Cricket Stadium,11/11/2021
Australia,New Zealand,Australia,Dubai International Cricket Stadium,14/11/2021
India,New Zealand,India,Sawai Mansingh Stadium,17/11/2021
Bangladesh,Pakistan,Pakistan,Shere Bangla National Stadium,19/11/2021
India,New Zealand,India,JSCA International Stadium Complex,19/11/2021
Bangladesh,Pakistan,Pakistan,Shere Bangla National Stadium,20/11/2021
India,New Zealand,India,Eden Gardens,21/11/2021
Bangladesh,Pakistan,Pakistan,Shere Bangla National Stadium,22/11/2021
Pakistan,West Indies,Pakistan,National Stadium (Karachi),13/12/2021
Pakistan,West Indies,Pakistan,National Stadium (Karachi),14/12/2021
Pakistan,West Indies,Pakistan,National Stadium (Karachi),16/12/2021
West Indies,England,West Indies,Kensington Oval,22/01/2022
West Indies,England,England,Kensington Oval,23/01/2022
West Indies,England,West Indies,Kensington Oval,26/01/2022
West Indies,England,England,Kensington Oval,29/01/2022
West Indies,England,West Indies,Kensington Oval,30/01/2022
Australia,Sri Lanka,Australia,Sydney Cricket Ground,11/02/2022
Australia,Sri Lanka,Australia,Sydney Cricket Ground,13/02/2022
Ireland,United Arab Emirates,United Arab Emirates,Al Amerat Cricket Ground Ministry Turf 1,13/02/2022
Australia,Sri Lanka,Australia,Manuka Oval,15/02/2022
India,West Indies,India,Eden Gardens,16/02/2022
India,West Indies,India,Eden Gardens,18/02/2022
Australia,Sri Lanka,Australia,Melbourne Cricket Ground,18/02/2022
Ireland,United Arab Emirates,United Arab Emirates,Al Amerat Cricket Ground Ministry Turf 1,18/02/2022
India,West Indies,India,Eden Gardens,20/02/2022
Australia,Sri Lanka,Sri Lanka,Melbourne Cricket Ground,20/02/2022
India,Sri Lanka,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,24/02/2022
Ireland,United Arab Emirates,United Arab Emirates,Al Amerat Cricket Ground Ministry Turf 1,24/02/2022
India,Sri Lanka,India,Himachal Pradesh Cricket Association Stadium,26/02/2022
India,Sri Lanka,India,Himachal Pradesh Cricket Association Stadium,27/02/2022
Bangladesh,Afghanistan,Bangladesh,Shere Bangla National Stadium,03/03/2022
Bangladesh,Afghanistan,Afghanistan,Shere Bangla National Stadium,05/03/2022
Pakistan,Australia,Australia,Gaddafi Stadium,05/04/2022
Zimbabwe,Namibia,Zimbabwe,Queens Sports Club,17/05/2022
Zimbabwe,Namibia,Namibia,Queens Sports Club,19/05/2022
Zimbabwe,Namibia,Zimbabwe,Queens Sports Club,21/05/2022
Zimbabwe,Namibia,Namibia,Queens Sports Club,22/05/2022
Zimbabwe,Namibia,Namibia,Queens Sports Club,24/05/2022
Sri Lanka,Australia,Australia,R Premadasa Stadium,07/06/2022
Sri Lanka,Australia,Australia,R Premadasa Stadium,08/06/2022
India,South Africa,South Africa,Arun Jaitley Stadium,09/06/2022
Zimbabwe,Afghanistan,Afghanistan,Harare Sports Club,11/06/2022
Sri Lanka,Australia,Sri Lanka,Pallekele International Cricket Stadium,11/06/2022
India,South Africa,South Africa,Barabati Stadium,12/06/2022
Zimbabwe,Afghanistan,Afghanistan,Harare Sports Club,12/06/2022
India,South Africa,India,Dr YS Rajasekhara Reddy Cricket Stadium,14/06/2022
Zimbabwe,Afghanistan,Afghanistan,Harare Sports Club,14/06/2022
India,South Africa,India,Saurashtra Cricket Association Stadium,17/06/2022
India,South Africa,No result,M Chinnaswamy Stadium,19/06/2022
Ireland,India,India,The Village,26/06/2022
Ireland,India,India,The Village,28/06/2022
West Indies,Bangladesh,No result,Windsor Park,02/07/2022
West Indies,Bangladesh,West Indies,Windsor Park,03/07/2022
England,India,India,The Rose Bowl,07/07/2022
West Indies,Bangladesh,West Indies,Providence Stadium,07/07/2022
England,India,India,Edgbaston,09/07/2022
England,India,England,Trent Bridge,10/07/2022
Zimbabwe,Netherlands,Zimbabwe,Queens Sports Club,17/07/2022
Ireland,New Zealand,New Zealand,Civil Service Cricket Club,18/07/2022
Ireland,New Zealand,New Zealand,Civil Service Cricket Club,20/07/2022
Ireland,New Zealand,New Zealand,Civil Service Cricket Club,22/07/2022
England,South Africa,England,County Ground (Bristol),27/07/2022
Scotland,New Zealand,New Zealand,Grange Cricket Club,27/07/2022
England,South Africa,South Africa,Sophia Gardens,28/07/2022
West Indies,India,India,Brian Lara Stadium,29/07/2022
Scotland,New Zealand,New Zealand,Grange Cricket Club,29/07/2022
Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,30/07/2022
Zimbabwe,Bangladesh,Bangladesh,Harare Sports Club,31/07/2022
England,South Africa,South Africa,The Rose Bowl,31/07/2022
West Indies,India,West Indies,Warner Park,01/08/2022
West Indies,India,India,Warner Park,02/08/2022
Zimbabwe,Bangladesh,Zimbabwe,Harare Sports Club,02/08/2022
Ireland,South Africa,South Africa,County Ground (Bristol),03/08/2022
Netherlands,New Zealand,New Zealand,Sportpark Westvliet,04/08/2022
Ireland,South Africa,South Africa,County Ground (Bristol),05/08/2022
Netherlands,New Zealand,New Zealand,Sportpark Westvliet,05/08/2022
West Indies,India,India,Central Broward Regional Park,06/08/2022
West Indies,India,India,Central Broward Regional Park,07/08/2022
Ireland,Afghanistan,Ireland,Civil Service Cricket Club,09/08/2022
West Indies,New Zealand,New Zealand,Sabina Park,10/08/2022
Ireland,Afghanistan,Ireland,Civil Service Cricket Club,11/08/2022
West Indies,New Zealand,New Zealand,Sabina Park,12/08/2022
Ireland,Afghanistan,Afghanistan,Civil Service Cricket Club,12/08/2022
West Indies,New Zealand,West Indies,Sabina Park,14/08/2022
Ireland,Afghanistan,Afghanistan,Civil Service Cricket Club,15/08/2022
Ireland,Afghanistan,Ireland,Civil Service Cricket Club,17/08/2022
Afghanistan,Sri Lanka,Afghanistan,Dubai International Cricket Stadium,27/08/2022
India,Pakistan,India,Dubai International Cricket Stadium,28/08/2022
Afghanistan,Bangladesh,Afghanistan,Sharjah Cricket Stadium,30/08/2022
Bangladesh,Sri Lanka,Sri Lanka,Dubai International Cricket Stadium,01/09/2022
Afghanistan,Sri Lanka,Sri Lanka,Sharjah Cricket Stadium,03/09/2022
India,Pakistan,Pakistan,Dubai International Cricket Stadium,04/09/2022
India,Sri Lanka,Sri Lanka,Dubai International Cricket Stadium,06/09/2022
Afghanistan,Pakistan,Pakistan,Sharjah Cricket Stadium,07/09/2022
Afghanistan,India,India,Dubai International Cricket Stadium,08/09/2022
Pakistan,Sri Lanka,Sri Lanka,Dubai International Cricket Stadium,09/09/2022
Pakistan,Sri Lanka,Sri Lanka,Dubai International Cricket Stadium,11/09/2022
India,Australia,Australia,Punjab Cricket Association IS Bindra Stadium,20/09/2022
Pakistan,England,England,National Stadium (Karachi),20/09/2022
Pakistan,England,Pakistan,National Stadium (Karachi),22/09/2022
India,Australia,India,Vidarbha Cricket Association Stadium,23/09/2022
Pakistan,England,England,National Stadium (Karachi),23/09/2022
United Arab Emirates,Bangladesh,Bangladesh,Dubai International Cricket Stadium,25/09/2022
India,Australia,India,Rajiv Gandhi International Stadium,25/09/2022
Pakistan,England,Pakistan,National Stadium (Karachi),25/09/2022
United Arab Emirates,Bangladesh,Bangladesh,Dubai International Cricket Stadium,27/09/2022
India,South Africa,India,Greenfield International Stadium,28/09/2022
Pakistan,England,Pakistan,Gaddafi Stadium,28/09/2022
Pakistan,England,England,Gaddafi Stadium,30/09/2022
India,South Africa,India,Barsapara Cricket Stadium,02/10/2022
Pakistan,England,England,Gaddafi Stadium,02/10/2022
India,South Africa,South Africa,Holkar Cricket Stadium,04/10/2022
Australia,West Indies,Australia,Carrara Oval,05/10/2022
Bangladesh,Pakistan,Pakistan,Hagley Oval,07/10/2022
Australia,West Indies,Australia,Brisbane Cricket Ground,07/10/2022
New Zealand,Pakistan,Pakistan,Hagley Oval,08/10/2022
Australia,England,England,Perth Stadium,09/10/2022
New Zealand,Bangladesh,New Zealand,Hagley Oval,09/10/2022
